division,bin,time_min,fraction_2yr,fraction_10yr,fraction_25yr,intensity_2yr_mmhr,intensity_10yr_mmhr,intensity_25yr_mmhr
Rajshahi,1,55.4,0.0743,0.0743,0.0743,3.56,5.83,8.09
Rajshahi,2,110.8,0.0842,0.0842,0.0842,4.04,6.6,9.17
Rajshahi,3,166.2,0.1085,0.1085,0.1085,5.21,8.51,11.81
Rajshahi,4,221.6,0.0926,0.0926,0.0926,4.44,7.26,10.08
Rajshahi,5,277,0.0954,0.0954,0.0954,4.58,7.48,10.39
Rajshahi,6,332.4,0.0925,0.0925,0.0925,4.44,7.25,10.07
Rajshahi,7,387.8,0.0932,0.0932,0.0932,4.47,7.31,10.15
Rajshahi,8,443.2,0.088,0.088,0.088,4.22,6.9,9.58
Rajshahi,9,498.6,0.0804,0.0804,0.0804,3.86,6.3,8.75
Rajshahi,10,554,0.0696,0.0696,0.0696,3.34,5.46,7.58
Rajshahi,11,609.5,0.0687,0.0687,0.0687,3.3,5.39,7.48
Rajshahi,12,664.9,0.0525,0.0525,0.0525,2.52,4.12,5.72
Barishal,1,69.9,0.0824,0.0824,0.0824,3.64,6.95,10.25
Barishal,2,139.7,0.0915,0.0915,0.0915,4.05,7.71,11.38
Barishal,3,209.6,0.0871,0.0871,0.0871,3.85,7.34,10.83
Barishal,4,279.4,0.0894,0.0894,0.0894,3.95,7.54,11.12
Barishal,5,349.3,0.0896,0.0896,0.0896,3.96,7.55,11.14
Barishal,6,419.1,0.0881,0.0881,0.0881,3.9,7.43,10.96
Barishal,7,489,0.0916,0.0916,0.0916,4.05,7.72,11.39
Barishal,8,558.8,0.0896,0.0896,0.0896,3.96,7.55,11.14
Barishal,9,628.7,0.0834,0.0834,0.0834,3.69,7.03,10.37
Barishal,10,698.5,0.0687,0.0687,0.0687,3.04,5.79,8.54
Barishal,11,768.4,0.0737,0.0737,0.0737,3.26,6.21,9.17
Barishal,12,838.2,0.0649,0.0649,0.0649,2.87,5.47,8.07
Chattogram,1,95.4,0.0686,0.0686,0.0686,3.89,8.44,12.98
Chattogram,2,190.8,0.0833,0.0833,0.0833,4.73,10.24,15.76
Chattogram,3,286.2,0.0933,0.0933,0.0933,5.3,11.47,17.65
Chattogram,4,381.6,0.0911,0.0911,0.0911,5.17,11.2,17.23
Chattogram,5,477.1,0.0934,0.0934,0.0934,5.3,11.48,17.67
Chattogram,6,572.5,0.0958,0.0958,0.0958,5.44,11.78,18.12
Chattogram,7,667.9,0.0933,0.0933,0.0933,5.3,11.47,17.65
Chattogram,8,763.3,0.0912,0.0912,0.0912,5.18,11.21,17.25
Chattogram,9,858.7,0.0899,0.0899,0.0899,5.1,11.05,17
Chattogram,10,954.1,0.0775,0.0775,0.0775,4.4,9.53,14.66
Chattogram,11,1049.5,0.0701,0.0701,0.0701,3.98,8.62,13.26
Chattogram,12,1144.9,0.0523,0.0523,0.0523,2.97,6.43,9.89
Dhaka,1,59.5,0.0619,0.0619,0.0619,3.17,5.7,8.24
Dhaka,2,119,0.0873,0.0873,0.0873,4.47,8.04,11.62
Dhaka,3,178.5,0.1003,0.1003,0.1003,5.14,9.24,13.35
Dhaka,4,237.9,0.0989,0.0989,0.0989,5.07,9.11,13.16
Dhaka,5,297.4,0.0923,0.0923,0.0923,4.73,8.51,12.28
Dhaka,6,356.9,0.0972,0.0972,0.0972,4.98,8.96,12.93
Dhaka,7,416.4,0.0953,0.0953,0.0953,4.88,8.78,12.68
Dhaka,8,475.9,0.0875,0.0875,0.0875,4.48,8.06,11.64
Dhaka,9,535.4,0.0858,0.0858,0.0858,4.4,7.91,11.42
Dhaka,10,594.9,0.0777,0.0777,0.0777,3.98,7.16,10.34
Dhaka,11,654.3,0.0643,0.0643,0.0643,3.3,5.93,8.56
Dhaka,12,713.8,0.0516,0.0516,0.0516,2.64,4.75,6.87
